15	0.1	24.0	1537.5
15	0.2	58.0	3075.0
15	0.3	76.0	4612.5
15	0.4	95.0	6150.0
15	0.5	114.0	7687.5
15	0.6	137.0	9225.0
15	0.7	262.0	10762.5
15	0.8	312.0	12300.0
15	0.9	405.0	13837.5
20	0.1	21.0	1806.7
20	0.2	40.0	3613.4
20	0.3	58.0	5420.099999999999
20	0.4	80.0	7226.8
20	0.5	115.0	9033.5
20	0.6	106.0	10840.199999999999
20	0.7	246.0	12646.9
20	0.8	304.0	14453.6
20	0.9	299.0	16260.300000000001
22	0.1	22.0	1940.0
22	0.2	41.0	3880.0
22	0.3	56.0	5820.0
22	0.4	73.0	7760.0
22	0.5	84.0	9700.0
22	0.6	91.0	11640.0
22	0.7	97.0	13580.0
22	0.8	142.0	15520.0
22	0.9	267.0	17460.0
