1 10 823 44 23 1 11 52 26 136 51 243 83 12 14 179 64 251 86 33 20 78 34
2 10 976 89 37 176 63 36 21 181 65 73 32 19 16 171 62 257 88 137 52 81 35
3 10 1225 286 96 185 66 294 98 170 61 9 13 27 18 9 13 233 80 164 60 155 57
4 10 1062 141 53 220 76 60 28 146 54 183 65 27 19 121 47 163 59 27 18 240 82
5 10 992 152 56 89 37 207 73 10 13 197 70 281 95 156 57 100 40 39 22 9 13
6 10 1324 202 71 51 26 172 62 165 60 105 42 57 27 181 65 294 98 192 68 237 82
7 10 1185 281 95 18 16 250 85 249 85 21 17 106 42 88 37 197 69 223 77 49 25
8 10 1263 159 58 71 32 59 28 203 71 103 41 90 37 257 87 165 60 283 95 189 67
9 10 1390 287 96 64 30 177 63 259 88 161 59 250 85 60 28 65 30 286 96 129 49
10 10 911 21 17 104 42 22 17 81 35 195 69 191 68 213 74 211 74 75 33 26 18
11 10 1523 144 53 182 65 223 77 137 51 235 81 226 78 208 73 92 38 213 74 244 84
12 10 1335 135 51 223 77 46 24 42 23 163 59 208 73 234 81 140 52 261 89 217 75
13 10 987 100 40 60 28 186 66 105 42 272 92 95 39 53 26 231 80 33 20 99 40
14 10 1288 142 53 172 62 92 38 205 72 246 84 222 77 31 20 285 96 200 70 15 15
15 10 1252 295 99 114 45 239 82 66 30 30 19 193 68 118 46 79 34 280 94 151 56
16 10 1548 279 94 278 94 155 57 132 50 202 71 192 68 283 95 290 97 63 29 61 29
17 10 1304 241 83 231 80 233 80 220 76 21 17 252 86 69 31 186 66 146 54 31 20
18 10 1451 232 80 42 23 266 90 232 80 272 92 29 19 260 88 192 68 123 47 166 60
19 10 1132 78 34 124 48 49 25 189 67 49 25 227 78 81 35 115 45 266 90 238 82
20 10 1204 182 65 20 16 30 19 143 53 57 27 272 92 168 61 235 81 191 68 208 73
21 10 1359 262 89 120 46 231 80 40 22 220 76 231 80 176 63 19 16 115 45 285 96
22 10 1108 38 22 192 68 137 51 80 34 239 82 85 36 131 50 203 71 13 14 267 91
23 10 1215 159 58 276 93 70 31 191 68 194 69 264 89 98 40 17 16 198 70 52 26
24 10 1367 173 62 243 83 198 70 73 32 103 41 35 21 180 64 151 56 259 88 294 99
25 10 1330 193 68 256 87 176 63 93 38 210 73 248 85 142 53 113 44 129 49 103 41
26 10 1347 255 87 51 26 174 63 280 94 59 28 297 100 212 74 80 34 156 57 120 46
27 10 1570 291 98 294 99 138 52 298 100 56 27 274 92 263 89 166 60 127 49 56 27
28 10 1020 68 31 90 37 139 52 67 31 131 50 284 95 66 30 233 80 123 47 74 32
29 10 1124 23 17 273 92 96 39 199 70 275 93 258 88 50 25 24 18 91 38 116 45
30 10 1203 30 19 55 27 213 74 154 56 85 36 248 85 114 45 190 67 162 59 253 86
31 10 975 278 94 107 42 3 11 21 17 242 83 31 20 168 61 100 40 109 43 160 58
32 10 1148 135 51 190 67 48 25 89 37 159 58 61 29 295 99 87 36 135 51 237 81
33 10 1106 37 22 236 81 50 25 147 55 241 83 247 85 22 17 144 54 16 15 243 83
34 10 1457 121 47 141 53 136 51 258 88 254 86 36 21 297 100 214 74 121 47 244 84
35 10 1204 134 50 77 34 71 32 110 43 89 37 122 47 73 32 279 94 267 91 284 96
36 10 780 150 55 94 39 52 26 19 16 68 31 116 45 45 24 36 21 153 56 242 83
37 10 1244 98 40 150 55 127 49 237 81 132 50 211 74 241 83 116 45 216 75 27 18
38 10 971 36 21 133 50 297 100 90 37 172 62 33 20 79 34 182 65 121 47 71 32
39 10 1192 114 44 282 95 116 45 289 97 187 66 139 52 150 55 13 14 198 70 3 11
40 10 1120 73 32 81 35 99 40 105 42 203 71 273 92 89 37 78 34 298 100 102 41
41 10 988 30 19 2 11 284 96 171 62 193 68 96 39 280 94 51 26 43 23 85 36
42 10 1045 276 93 256 87 17 15 87 36 245 84 28 19 18 16 11 14 76 33 293 98
43 10 1260 118 46 180 64 5 12 83 35 58 28 224 78 241 83 269 91 300 100 98 40
44 10 1205 237 81 129 49 270 91 114 45 78 34 63 29 190 67 30 19 289 97 107 43
45 10 1016 2 11 100 40 129 49 233 80 95 39 97 40 295 99 257 87 1 11 62 29
46 10 1204 161 59 147 54 22 17 45 24 160 58 212 74 235 81 252 86 167 61 105 42
47 10 1452 289 97 181 65 36 21 232 80 168 61 46 24 190 67 269 91 263 89 142 53
48 10 1073 84 35 251 86 142 53 151 56 67 30 97 39 230 79 219 76 58 28 43 23
49 10 1495 260 88 292 98 178 64 265 90 53 26 178 64 135 51 46 24 266 90 196 69
50 10 1336 142 53 91 38 287 96 113 44 300 100 179 64 191 68 145 54 198 70 25 18
51 10 1043 230 79 177 64 50 25 287 97 57 27 69 31 75 33 158 58 52 26 149 55
52 10 811 142 53 46 24 126 48 50 25 132 50 36 21 152 56 179 64 88 37 63 29
53 10 1497 274 93 129 49 127 48 231 80 36 21 245 84 109 43 234 81 277 93 210 73
54 10 1293 269 91 240 82 51 26 270 91 16 15 256 87 237 81 125 48 123 47 30 19
55 10 1508 209 73 132 50 270 91 217 76 118 46 45 24 221 77 248 85 161 59 264 89
56 10 1573 288 97 35 21 272 92 240 82 1 11 226 78 240 82 125 48 260 88 280 94
57 10 1433 275 93 96 39 72 32 214 74 17 15 124 48 282 95 281 95 252 86 179 64
58 10 1076 60 28 101 41 246 84 95 39 207 72 260 88 4 11 258 88 1 11 113 44
59 10 1070 90 37 89 37 49 25 234 81 60 28 271 92 237 81 51 26 60 28 197 70
60 10 909 235 81 278 94 50 25 119 46 71 32 124 47 28 19 124 48 90 37 18 16
61 10 1290 123 47 125 48 287 96 58 28 170 61 5 12 240 82 294 99 84 36 227 78
62 10 1385 41 23 129 49 82 35 188 67 261 89 238 82 273 92 154 57 140 52 226 78
63 10 1260 222 77 108 43 163 59 291 98 105 42 184 66 10 13 138 52 259 88 95 39
64 10 1328 173 62 11 14 40 22 170 61 280 94 121 47 257 88 262 89 207 72 139 52
65 10 1085 185 66 61 29 55 27 136 51 6 12 215 75 158 58 189 67 149 55 203 71
66 10 1083 28 19 186 66 157 57 124 47 82 35 278 94 159 58 36 21 231 80 73 32
67 10 1200 218 76 32 20 158 58 57 27 234 81 171 62 13 14 293 98 170 61 154 56
68 10 1100 287 96 43 23 187 66 44 23 152 56 110 43 154 57 280 94 95 39 23 17
69 10 837 53 26 39 22 225 78 107 42 86 36 65 30 158 58 41 23 12 14 261 89
70 10 1710 255 87 199 70 278 94 246 84 137 52 221 77 250 85 274 93 43 23 235 81
71 10 1063 152 56 79 34 69 31 96 39 138 52 92 38 155 57 265 90 272 92 11 14
72 10 1348 274 93 109 43 69 31 20 16 227 79 171 62 284 96 244 84 216 75 71 32
73 10 900 131 50 39 22 200 70 112 44 272 92 69 31 168 61 17 16 115 45 2 11
74 10 1112 13 14 263 89 113 44 110 43 152 56 140 52 182 65 129 49 56 27 232 80
75 10 987 81 35 6 12 48 25 198 70 264 90 255 87 20 16 75 33 35 21 252 86
