15	0.1	16.0	1051.7
15	0.2	31.0	2711.2000000000003
15	0.3	55.0	3256.2
15	0.4	281.0	1734.8000000000002
15	0.5	339.0	2573.5
15	0.6	339.0	3088.2
15	0.7	339.0	3602.8999999999996
15	0.8	281.0	3469.6000000000004
15	0.9	339.0	4632.3
20	0.1	10.0	515.2
20	0.2	22.0	2538.8
20	0.3	153.0	1138.8
20	0.4	153.0	1518.4
20	0.5	149.0	1898.0
20	0.6	153.0	2277.6
20	0.7	249.0	3975.2999999999997
20	0.8	153.0	3036.8
20	0.9	249.0	5111.1
22	0.1	17.0	658.0
22	0.2	30.0	6154.8
22	0.3	33.0	6969.9
22	0.4	59.0	5471.200000000001
22	0.5	179.0	2024.5
22	0.6	169.0	2128.7999999999997
22	0.7	179.0	2834.2999999999997
22	0.8	275.0	3239.2000000000003
22	0.9	275.0	3644.1
