1 5 1 1 8 1 952 2 571 3 456 1 1441
2 5 1 1 1046 2 1299 1 170 1 596 1 618
3 5 1 1 518 1 882 2 1002 3 85 2 1160
4 5 1 1 833 2 293 1 220 1 509 2 495
5 5 2 4 1196 1 418 5 752 3 1027 1 35
6 5 2 2 1123 6 711 3 1032 1 1471 1 798
7 5 1 1 218 1 859 1 265 2 1090 1 1490
8 5 2 5 443 1 910 1 476 2 290 1 1353
9 5 1 1 1122 1 410 4 451 2 711 1 221
10 5 1 1 381 1 115 1 1378 2 1098 3 142
11 5 1 2 933 1 1050 2 1413 2 978 1 1043
12 5 1 3 96 1 21 3 84 1 1432 1 662
13 5 1 2 1473 1 397 1 198 1 867 4 875
14 5 3 2 125 3 152 5 976 4 917 3 1366
15 5 1 2 968 2 1415 1 603 3 1247 1 851
16 5 2 1 227 6 1496 2 1485 1 477 2 468
17 5 2 1 831 1 530 3 1327 4 991 2 441
18 5 1 2 1393 2 1149 2 405 1 802 1 923
19 5 2 1 215 3 731 4 692 1 789 1 655
20 5 3 6 1136 2 127 7 993 1 587 1 607
21 5 1 1 540 3 1406 1 1029 3 893 1 73
22 5 2 4 280 2 1400 3 174 1 1308 3 1369
23 5 1 1 706 2 436 2 64 1 629 1 454
24 5 2 2 38 1 996 2 1175 3 1320 5 1474
25 5 2 2 805 3 174 3 1072 1 1073 1 861
26 5 2 2 186 2 222 1 637 3 52 4 486
27 5 1 1 1432 2 496 2 1279 1 388 2 946
28 5 2 2 1122 1 793 5 1226 1 1243 2 1452
29 5 2 4 341 4 1001 1 1391 1 1470 2 333
30 5 2 6 183 2 326 1 1276 1 168 1 669
31 5 2 2 343 4 1247 2 15 1 153 1 88
32 5 3 6 907 1 62 3 1426 3 289 2 111
33 5 1 1 797 1 125 1 774 3 1223 1 827
34 5 1 2 748 1 1052 1 148 2 286 1 1357
35 5 2 1 472 5 894 3 1077 1 698 2 678
36 5 1 2 1317 1 798 1 232 1 10 1 238
37 5 1 1 702 3 844 2 260 1 335 1 848
38 5 2 1 599 5 1229 4 1112 1 465 1 1459
39 5 1 1 1028 1 1089 1 1252 4 1464 1 1440
40 5 1 1 823 1 987 2 1303 3 1424 1 1145
41 5 2 2 561 4 1194 2 1101 3 1324 3 231
42 5 1 3 1080 1 231 1 1453 1 683 3 26
43 5 3 1 786 7 971 1 351 2 886 7 237
44 5 2 3 1132 2 1041 1 617 1 1407 4 1017
45 5 1 2 556 1 1382 3 1190 1 1158 1 652
46 5 3 6 351 1 492 4 263 4 591 1 1422
47 5 1 1 84 2 1155 2 1474 1 1188 2 1297
48 5 1 1 364 2 1364 1 476 1 962 4 565
49 5 1 3 570 1 740 1 522 1 967 3 727
50 5 1 1 432 1 123 1 19 2 1256 3 1204
51 5 2 5 173 2 828 3 985 2 1350 2 788
52 5 1 2 275 2 1358 1 640 1 1470 1 688
53 5 2 1 44 2 810 1 668 5 1021 2 669
54 5 1 1 430 1 457 1 917 2 1151 2 824
55 5 2 4 1131 2 831 2 414 1 767 2 1229
56 5 1 1 546 2 180 1 266 2 1145 3 376
57 5 2 2 20 2 804 2 584 2 1480 3 576
58 5 1 1 1119 3 390 2 1324 1 1433 2 1142
59 5 1 1 1334 2 827 3 123 2 745 1 977
60 5 1 2 88 1 337 3 794 1 1413 1 118
61 5 2 1 364 1 1219 5 835 3 928 4 613
62 5 1 1 54 1 662 1 641 1 275 1 111
63 5 2 3 1095 2 4 1 1156 1 386 3 337
64 5 1 1 75 2 1462 3 1003 1 470 2 419
65 5 1 1 966 1 693 1 25 2 354 4 803
66 5 1 1 649 1 1258 2 1102 2 1341 2 1335
