1 4 1207 0 0 0 1 0.0
5 4 3037 0 0 0 1 0.0
6 4 2256 1 0 0 0 0.0
8 4 8360 1 0 0 0 0.0
12 4 3487 0 0 0 1 0.0
18 4 3088 0 1 0 0 0.0
19 4 6384 0 0 1 0 0.0
20 4 4919 1 1 1 0 0.0
21 4 6540 0 1 0 0 0.0
22 4 1891 1 0 0 0 0.0
24 4 11186 1 0 0 0 0.0
25 4 3927 0 0 1 0 0.0
26 4 10802 1 0 0 0 0.0
27 4 4267 0 0 0 1 0.0
28 4 12485 0 1 0 0 0.0
29 4 3076 1 0 0 0 0.0
33 4 5474 1 0 0 0 0.0
34 4 4834 0 0 1 0 0.0
35 4 7649 1 0 0 0 0.0
36 4 1630 0 1 0 0 0.0
38 4 6232 0 0 1 0 0.0
40 4 3855 0 1 0 0 0.0
41 4 10120 0 0 0 1 0.0
45 4 5446 0 0 0 1 0.0
46 4 3611 0 0 1 0 0.0
47 4 6193 0 0 1 0 0.0
48 4 9277 0 0 0 1 0.0
50 4 177150 0 0 1 0 0.0
53 4 4404 1 0 0 0 0.0
54 4 1681 0 0 1 0 0.0
55 4 4126 0 0 1 0 0.0
56 4 3541 0 0 0 1 0.0
58 4 3493 0 0 0 1 0.0
59 4 7223 0 0 0 1 0.0
62 4 3508 0 1 0 0 0.0
66 4 6943 0 0 1 0 0.0
67 4 4096 0 1 0 0 0.0
75 4 6970 1 0 0 0 0.0
77 4 6737 0 0 0 1 0.0
78 4 4362 0 0 1 0 0.0
80 4 8816 0 0 0 1 0.0
84 4 2439 0 0 0 1 0.0
86 4 8430 1 0 0 0 0.0
87 4 3770 0 1 0 0 0.0
89 4 1354 1 0 0 0 0.0
93 4 4864 0 1 0 0 0.0
94 4 2188 0 0 1 0 0.0
96 4 3538 0 0 1 0 0.0
97 4 4286 0 0 1 0 0.0
98 4 1870 0 1 0 0 0.0
99 4 7178 1 0 0 0 0.0
100 4 2710 0 1 0 0 0.0
101 4 6154 1 0 0 0 0.0
103 4 17186 0 1 0 0 0.0
105 4 3802 0 0 1 0 0.0
106 4 4266 1 0 0 0 0.0
108 4 4475 0 1 0 0 0.0
110 4 2464 1 0 0 0 0.0
112 4 5917 0 0 0 1 0.0
113 4 3668 0 0 1 0 0.0
115 4 7284 0 0 0 1 0.0
116 4 7144 0 0 0 1 0.0
117 4 4480 0 0 1 0 0.0
122 4 5671 0 0 0 1 0.0
123 4 10052 0 1 0 0 0.0
124 4 7685 0 1 0 0 0.0
125 4 5047 0 0 1 0 0.0
127 4 11043 1 0 0 0 0.0
128 4 3467 0 0 0 1 0.0
129 4 8979 1 0 0 0 0.0
130 4 6068 0 1 0 0 0.0
133 4 1731 0 0 1 0 0.0
134 4 4383 1 0 0 0 0.0
135 4 4830 0 0 1 0 0.0
136 4 2352 1 0 0 0 0.0
137 4 3357 0 0 0 1 0.0
138 4 2457 0 1 0 0 0.0
146 4 4289 0 1 0 0 0.0
149 4 3424 0 1 0 0 0.0
151 4 4445 0 1 0 0 0.0
152 4 3504 1 0 0 0 0.0
153 4 1796 0 0 1 0 0.0
154 4 3708 0 0 0 1 0.0
155 4 1935 0 0 1 0 0.0
159 4 2877 0 0 0 1 0.0
161 4 26832 0 0 0 1 0.0
164 4 4295 0 0 0 1 0.0
165 4 2162 0 0 1 0 0.0
166 4 5101 0 0 1 0 0.0
167 4 3857 0 1 0 0 0.0
170 4 2995 0 1 0 0 0.0
171 4 3381 0 1 0 0 0.0
175 4 7038 0 1 0 0 0.0
176 4 2117 0 0 0 1 0.0
184 4 4727 0 1 0 0 0.0
186 4 7881 0 0 0 1 0.0
192 4 3681 0 0 0 1 0.0
194 4 1279 0 0 1 0 0.0
196 4 2881 0 1 0 0 0.0
200 4 3591 0 0 1 0 0.0
202 4 6925 0 0 1 0 0.0
205 4 4170 0 0 0 1 0.0
208 4 3213 0 0 0 1 0.0
209 4 2679 0 0 1 0 0.0
210 4 1018 0 0 1 0 0.0
211 4 4617 1 0 0 0 0.0
213 4 3107 0 0 0 1 0.0
