1 22 239 257 343 50 517 125 1203 228 1136 44 538 131 177 137 1319 118 802 138 1600 90 593 94 1313 20 667 262 1704 99 1143 136 378 52 707 78 1754 142 394 98 595 44 1886 14 1175 42 1665
2 22 211 106 1416 90 172 12 1213 78 1564 75 613 78 276 67 1734 84 664 206 1536 129 1364 55 203 16 95 235 1285 183 1865 150 1855 23 874 99 1887 11 403 81 1678 155 1552 69 1772 109 1106
3 22 230 35 1592 119 198 158 1808 70 126 221 1274 164 1592 98 1779 107 1837 203 1319 103 686 7 1283 45 617 159 860 198 1698 21 1980 89 1035 38 845 162 867 17 1553 178 1885 26 331 88 561
4 22 239 194 134 59 1118 141 896 111 589 142 1962 64 247 65 980 54 935 47 1980 87 1626 116 512 100 624 249 450 185 238 40 995 60 1437 4 1145 119 468 37 1880 114 1000 212 1987 199 196
5 22 200 17 1284 250 566 45 577 56 116 8 783 121 552 1 11 64 1795 187 418 111 1926 6 1 140 142 49 696 120 1546 133 1264 32 944 185 1672 71 387 166 1767 159 1910 71 328 14 455
6 22 188 143 988 12 305 175 880 122 420 172 1535 24 1266 32 337 31 1701 64 814 92 1796 84 300 61 1501 61 1730 21 1830 205 1421 19 1680 122 400 41 1720 212 1557 64 395 104 1564 23 788
7 22 201 177 823 211 1579 14 1128 7 1508 258 860 40 1818 147 1502 10 1226 42 1721 128 266 39 923 33 404 165 1238 144 546 23 236 70 66 83 1049 130 1954 131 1816 14 1242 21 149 123 257
8 22 227 194 432 143 77 40 1698 55 1473 92 522 163 1030 27 460 57 471 188 1012 172 1541 150 38 37 133 226 1675 9 838 40 1895 117 246 161 1079 155 114 99 331 2 473 121 1304 26 1763
9 22 204 122 161 94 1351 193 1549 93 1416 10 236 3 735 106 17 146 1798 278 1240 40 978 71 817 84 600 33 267 142 1426 7 1552 114 1263 21 1482 143 990 8 987 122 198 76 1585 141 1848
10 22 232 75 1103 212 1931 181 401 2 761 49 657 214 40 63 1984 9 1673 108 168 55 1817 52 1578 165 739 72 893 184 1596 235 1884 164 1069 74 786 163 796 6 913 127 357 65 1848 50 1696
11 22 225 34 434 175 312 152 1008 64 649 109 1799 169 162 15 105 26 1475 156 1891 104 1832 32 1679 101 280 127 443 80 1727 141 1826 90 689 156 150 136 1043 119 596 4 1861 155 1016 108 1471
12 22 218 125 718 244 1400 116 1983 44 225 74 62 123 1109 197 1159 71 763 23 1166 67 104 180 1272 25 1566 139 487 125 49 74 92 8 191 147 1957 182 180 49 1568 82 1615 76 362 10 1986
13 22 237 161 1757 123 441 244 1361 32 102 29 1085 95 1440 46 947 146 392 73 1897 82 106 173 513 4 1448 162 1591 88 417 98 373 141 1275 108 1169 209 1600 87 651 7 327 25 291 238 556
14 22 164 8 751 100 1894 187 910 18 438 89 265 190 213 79 1207 104 980 153 1497 21 1133 119 606 2 326 176 18 13 310 12 979 57 138 19 1259 76 464 174 1691 12 82 13 1263 27 1090
15 22 229 191 117 144 602 213 235 89 735 40 81 153 313 37 1383 191 1879 25 1083 49 365 102 973 80 393 177 1767 196 1865 25 1105 155 101 58 813 135 426 35 304 109 994 87 1247 6 1612
